Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
AIDS deaths,2016,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,58,1.3,4589546.00
AIDS deaths,2017,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,69,1.5,4631396.00
AIDS deaths,2011,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,154,6.3,2439866.00
AIDS deaths,2012,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,145,5.9,2449062.00
AIDS deaths,2013,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,178,7.2,2460749.00
AIDS deaths,2014,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,191,7.7,2467100.00
AIDS deaths,2015,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,175,7.1,2468675.00
AIDS deaths,2016,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,164,6.6,2472164.00
AIDS deaths,2017,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,172,6.9,2479041.00
AIDS deaths,2011,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,156,3.1,4996001.00
AIDS deaths,2012,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,153,3.1,5016085.00
AIDS deaths,2013,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,152,3,5039202.00
AIDS deaths,2014,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,134,2.6,5059205.00
AIDS deaths,2015,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,128,2.5,5076572.00
AIDS deaths,2016,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,161,3.2,5094029.00
